feature_avg_correlation,intrinsic_dimensionality_ratio,model_name,n_features,n_samples,out_hull_ratio,train_f1,val_f1,val_f1_in_hull,val_f1_out_hull
0.7418116233643501,0.1774193548387097,1,62,71,1.0,1.0,0.4155844155844156,,0.4155844155844156
0.7465495189222211,0.16129032258064516,1,62,71,1.0,1.0,0.7936507936507936,,0.7936507936507936
0.700135526250738,0.16129032258064516,1,62,71,1.0,1.0,0.7142857142857143,,0.7142857142857143
0.695984509865015,0.1774193548387097,0,62,71,1.0,0.9515961199294533,0.7430555555555555,,0.7430555555555555
0.7623521166996968,0.16129032258064516,0,62,71,1.0,0.936826114766082,0.7063492063492064,,0.7063492063492064
0.7700910312323952,0.1774193548387097,0,62,71,1.0,0.95337832102538,0.4571428571428572,,0.4571428571428572
0.7422520402334707,0.16129032258064516,0,62,71,1.0,0.969158496732026,0.3428571428571429,,0.3428571428571429
0.7633420762087848,0.1774193548387097,0,62,71,1.0,0.9682798979915852,0.39795918367346944,,0.39795918367346944
0.7904114531224846,0.16129032258064516,0,62,71,1.0,0.9370530442693272,0.6,,0.6
0.7338847672727056,0.1774193548387097,0,62,71,1.0,0.9370530442693272,1.0,,1.0
0.7418116233643501,0.1774193548387097,0,62,71,1.0,0.9370530442693272,0.39795918367346944,,0.39795918367346944
0.7465495189222211,0.16129032258064516,0,62,71,1.0,0.9370530442693272,0.6666666666666667,,0.6666666666666667
0.700135526250738,0.16129032258064516,0,62,71,1.0,0.9368050283963114,0.6122448979591838,,0.6122448979591838
0.695984509865015,0.1774193548387097,2,62,71,1.0,0.5813914218169537,0.6458333333333333,,0.6458333333333333
0.7623521166996968,0.16129032258064516,2,62,71,1.0,0.5826206140350877,0.7922077922077922,,0.7922077922077922
0.7700910312323952,0.1774193548387097,2,62,71,1.0,0.6436895551257255,0.4155844155844156,,0.4155844155844156
0.7422520402334707,0.16129032258064516,2,62,71,1.0,0.6466455350468633,0.4155844155844156,,0.4155844155844156
0.7633420762087848,0.1774193548387097,2,62,71,1.0,0.7163907987437398,0.3428571428571429,,0.3428571428571429
0.7904114531224846,0.16129032258064516,2,62,71,1.0,0.5677083333333333,0.6,,0.6
0.7338847672727056,0.1774193548387097,2,62,71,1.0,0.5693728522336768,0.6,,0.6
0.7418116233643501,0.1774193548387097,2,62,71,1.0,0.5693728522336768,0.4155844155844156,,0.4155844155844156
0.7465495189222211,0.16129032258064516,2,62,71,1.0,0.5872395833333333,0.4155844155844156,,0.4155844155844156
0.700135526250738,0.16129032258064516,2,62,71,1.0,0.6927117000646413,0.5238095238095237,,0.5238095238095237
0.9127499201202158,0.6666666666666666,1,3,72,0.5,1.0,0.875,0.6666666666666666,1.0
0.9127321810599518,0.6666666666666666,1,3,72,0.375,1.0,0.875,0.8,1.0
0.9184138545557212,0.6666666666666666,1,3,72,0.2857142857142857,1.0,0.5,0.5666666666666667,0.3333333333333333
0.9071354391893311,0.6666666666666666,1,3,72,0.5714285714285714,1.0,0.8095238095238094,0.6666666666666666,1.0
0.91558289092549,0.6666666666666666,1,3,72,0.2857142857142857,1.0,0.4857142857142857,0.4,1.0
0.9235158321693082,0.6666666666666666,1,3,72,0.2857142857142857,1.0,0.8095238095238094,0.7333333333333331,1.0
0.909354515361544,0.6666666666666666,1,3,72,0.2857142857142857,1.0,0.8095238095238094,0.7333333333333331,1.0
0.9117175163937395,0.6666666666666666,1,3,72,0.2857142857142857,1.0,0.8095238095238094,0.8,1.0
0.9170806207503628,0.6666666666666666,1,3,72,0.42857142857142855,1.0,0.8095238095238094,0.6666666666666666,1.0
0.91456370731579,0.6666666666666666,1,3,72,0.14285714285714285,1.0,0.7142857142857143,0.6666666666666666,1.0
0.9127499201202158,0.6666666666666666,0,3,72,0.5,0.8671127717391302,0.875,0.6666666666666666,1.0
0.9127321810599518,0.6666666666666666,0,3,72,0.375,0.846972547380156,0.875,1.0,0.5555555555555554
0.9184138545557212,0.6666666666666666,0,3,72,0.2857142857142857,0.8858875617136485,0.619047619047619,0.7333333333333331,0.3333333333333333
0.9071354391893311,0.6666666666666666,0,3,72,0.5714285714285714,0.8668867495544654,0.8095238095238094,0.6666666666666666,1.0
0.91558289092549,0.6666666666666666,0,3,72,0.2857142857142857,0.8706481923873227,0.8571428571428571,0.8666666666666667,1.0
0.9235158321693082,0.6666666666666666,0,3,72,0.2857142857142857,0.8707140685401554,0.6571428571428571,0.52,1.0
0.909354515361544,0.6666666666666666,0,3,72,0.2857142857142857,0.8503979243699882,1.0,1.0,1.0
0.9117175163937395,0.6666666666666666,0,3,72,0.2857142857142857,0.886714599722873,0.6666666666666666,0.6666666666666666,1.0
0.9170806207503628,0.6666666666666666,0,3,72,0.42857142857142855,0.8713299843382576,0.8095238095238094,0.6666666666666666,1.0
0.91456370731579,0.6666666666666666,0,3,72,0.14285714285714285,0.8703688317784427,0.8095238095238094,0.7777777777777776,1.0
0.9127499201202158,0.6666666666666666,2,3,72,0.5,0.846972547380156,0.875,0.6666666666666666,1.0
0.9127321810599518,0.6666666666666666,2,3,72,0.375,0.8311760929288102,0.6875,0.8,0.5555555555555554
0.9184138545557212,0.6666666666666666,2,3,72,0.2857142857142857,0.8512775761192051,0.619047619047619,0.7333333333333331,0.3333333333333333
0.9071354391893311,0.6666666666666666,2,3,72,0.5714285714285714,0.8248033126293997,0.8095238095238094,0.6666666666666666,1.0
0.91558289092549,0.6666666666666666,2,3,72,0.2857142857142857,0.8562095875139354,0.8095238095238094,0.8,1.0
0.9235158321693082,0.6666666666666666,2,3,72,0.2857142857142857,0.8892129990528158,0.6571428571428571,0.52,1.0
0.909354515361544,0.6666666666666666,2,3,72,0.2857142857142857,0.819166596404448,1.0,1.0,1.0
0.9117175163937395,0.6666666666666666,2,3,72,0.2857142857142857,0.8527920123828051,0.8095238095238094,0.8,1.0
0.9170806207503628,0.6666666666666666,2,3,72,0.42857142857142855,0.8527534544495102,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.91456370731579,0.6666666666666666,2,3,72,0.14285714285714285,0.835682205306443,0.8095238095238094,0.7777777777777776,1.0
0.3930151652340133,0.16129032258064516,1,62,74,1.0,1.0,0.4545454545454545,,0.4545454545454545
0.41181630970357774,0.1774193548387097,1,62,74,1.0,1.0,0.6874999999999999,,0.6874999999999999
0.4063148890653625,0.16129032258064516,1,62,74,1.0,1.0,0.4807692307692308,,0.4807692307692308
0.3870536310763017,0.16129032258064516,1,62,74,1.0,1.0,0.7000000000000002,,0.7000000000000002
0.4144905098648177,0.16129032258064516,1,62,74,1.0,1.0,0.8398268398268397,,0.8398268398268397
0.4138210721814888,0.16129032258064516,1,62,74,1.0,1.0,0.5952380952380951,,0.5952380952380951
0.4184351304030385,0.16129032258064516,1,62,74,1.0,1.0,0.5194805194805194,,0.5194805194805194
0.403574324541288,0.1774193548387097,1,62,74,1.0,1.0,0.5714285714285715,,0.5714285714285715
0.4170151162737931,0.16129032258064516,1,62,74,1.0,1.0,0.5714285714285715,,0.5714285714285715
0.420929136488602,0.16129032258064516,1,62,74,1.0,1.0,0.7922077922077922,,0.7922077922077922
0.3930151652340133,0.16129032258064516,0,62,74,1.0,0.9539534539534542,0.5208333333333333,,0.5208333333333333
0.41181630970357774,0.1774193548387097,0,62,74,1.0,0.9559611689756294,0.6874999999999999,,0.6874999999999999
0.4063148890653625,0.16129032258064516,0,62,74,1.0,0.968860849295632,0.4166666666666666,,0.4166666666666666
0.3870536310763017,0.16129032258064516,0,62,74,1.0,0.9850245969967008,0.6250000000000001,,0.6250000000000001
0.4144905098648177,0.16129032258064516,0,62,74,1.0,0.9701492537313432,0.5194805194805194,,0.5194805194805194
0.4138210721814888,0.16129032258064516,0,62,74,1.0,0.92624055237181,0.5952380952380951,,0.5952380952380951
0.4184351304030385,0.16129032258064516,0,62,74,1.0,0.9701492537313432,0.35714285714285715,,0.35714285714285715
0.403574324541288,0.1774193548387097,0,62,74,1.0,0.9556945248386558,0.8095238095238094,,0.8095238095238094
0.4170151162737931,0.16129032258064516,0,62,74,1.0,0.9707428765264584,0.5357142857142857,,0.5357142857142857
0.420929136488602,0.16129032258064516,0,62,74,1.0,0.9556945248386558,0.6666666666666669,,0.6666666666666669
0.3930151652340133,0.16129032258064516,2,62,74,1.0,0.673851724795121,0.4807692307692308,,0.4807692307692308
0.41181630970357774,0.1774193548387097,2,62,74,1.0,0.6441989993391862,0.6874999999999999,,0.6874999999999999
0.4063148890653625,0.16129032258064516,2,62,74,1.0,0.697972203235361,0.4807692307692308,,0.4807692307692308
0.3870536310763017,0.16129032258064516,2,62,74,1.0,0.6726006630349676,0.4807692307692308,,0.4807692307692308
0.4144905098648177,0.16129032258064516,2,62,74,1.0,0.7050461975835111,0.5952380952380951,,0.5952380952380951
0.4138210721814888,0.16129032258064516,2,62,74,1.0,0.6831186668445262,0.5952380952380951,,0.5952380952380951
0.4184351304030385,0.16129032258064516,2,62,74,1.0,0.7667544629792215,0.5952380952380951,,0.5952380952380951
0.403574324541288,0.1774193548387097,2,62,74,1.0,0.7070778184548954,0.6493506493506492,,0.6493506493506492
0.4170151162737931,0.16129032258064516,2,62,74,1.0,0.6846897587534028,0.5952380952380951,,0.5952380952380951
0.420929136488602,0.16129032258064516,2,62,74,1.0,0.6595120805221311,0.7922077922077922,,0.7922077922077922
0.6376227735919013,0.16129032258064516,1,62,74,1.0,1.0,0.4583333333333333,,0.4583333333333333
0.6167217359849554,0.1774193548387097,1,62,74,1.0,1.0,0.4807692307692308,,0.4807692307692308
0.6093743530876286,0.16129032258064516,1,62,74,1.0,1.0,0.7222222222222222,,0.7222222222222222
0.6749421290744895,0.1774193548387097,1,62,74,1.0,1.0,0.5208333333333333,,0.5208333333333333
0.6548452491386763,0.1774193548387097,1,62,74,1.0,1.0,1.0,,1.0
0.634961711587788,0.1774193548387097,1,62,74,1.0,1.0,0.5238095238095238,,0.5238095238095238
